训练开始时间: Thu Aug 28 02:44:37 UTC 2025
Wandb离线模式已启用，日志将保存在: wandb_offline_logs/fragldm_base_20250828_024437
wandb: WARNING Path wandb_offline_logs/fragldm_base_20250828_024437/wandb/ wasn't writable, using system temp directory.
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.7
wandb: W&B syncing is set to `offline` in this directory.  
wandb: Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: WARNING Symlinked 3 files into the W&B run directory, call wandb.save again to sync new files.
Entropy of n_nodes: H[N] -2.475700616836548
Autoencoder models are _not_ conditioned on time.
alphas2 [9.99990000e-01 9.99988000e-01 9.99982000e-01 ... 2.59676966e-05
 1.39959211e-05 1.00039959e-05]
gamma [-11.51291546 -11.33059532 -10.92513058 ...  10.55863126  11.17673063
  11.51251595]

==================================================
训练配置:
- 模型: egnn_dynamics
- 数据集: qm9
- 条件: 无
- 部分条件化: 已启用
  - 噪声比例: 0.8
  - 掩码策略: connected
==================================================

Epoch: 0, iter: 124/12500, Loss 2.46, NLL: 2.46, RegTerm: 0.0, GradNorm: 2.5 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 125/12500, Loss 2.53, NLL: 2.53, RegTerm: 0.0, GradNorm: 2.8 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 126/12500, Loss 2.64, NLL: 2.64, RegTerm: 0.0, GradNorm: 8.4 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 127/12500, Loss 3.47, NLL: 3.47, RegTerm: 0.0, GradNorm: 6.0 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 128/12500, Loss 2.63, NLL: 2.63, RegTerm: 0.0, GradNorm: 9.7 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 129/12500, Loss 2.48, NLL: 2.48, RegTerm: 0.0, GradNorm: 2.9 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 130/12500, Loss 2.93, NLL: 2.93, RegTerm: 0.0, GradNorm: 4.9 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 131/12500, Loss 2.68, NLL: 2.68, RegTerm: 0.0, GradNorm: 11.5 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 132/12500, Loss 2.82, NLL: 2.82, RegTerm: 0.0, GradNorm: 2.6 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 133/12500, Loss 2.84, NLL: 2.84, RegTerm: 0.0, GradNorm: 4.7 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 134/12500, Loss 2.76, NLL: 2.76, RegTerm: 0.0, GradNorm: 3.6 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 135/12500, Loss 2.39, NLL: 2.39, RegTerm: 0.0, GradNorm: 12.6 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 136/12500, Loss 2.55, NLL: 2.55, RegTerm: 0.0, GradNorm: 6.3 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 137/12500, Loss 2.61, NLL: 2.61, RegTerm: 0.0, GradNorm: 6.5 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 138/12500, Loss 2.43, NLL: 2.43, RegTerm: 0.0, GradNorm: 4.1 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 139/12500, Loss 2.65, NLL: 2.65, RegTerm: 0.0, GradNorm: 2.6 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 140/12500, Loss 2.79, NLL: 2.79, RegTerm: 0.0, GradNorm: 8.5 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 141/12500, Loss 2.68, NLL: 2.68, RegTerm: 0.0, GradNorm: 4.1 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 142/12500, Loss 2.86, NLL: 2.86, RegTerm: 0.0, GradNorm: 2.1 | Cond: 0.24, Noise: 0.76
